"Profile","Region","EC2_Count","EBS_count","S3_Count","Lambda_Count","RDS_Count","DynamoDB_count","Redis_count","ECS_Count","CloudFormation_Count","EKS_Clusters_Count","VPC_Count","IGW_count","NAT_count","CloudWatch_Alarms_Count","Activity_Detected"
"fennia-logarchive-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-master-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-master-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-master-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-master-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-master-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtiamlogin-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtiamlogin-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtiamlogin-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtiamlogin-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtiamlogin-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtlogging-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtlogging-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtlogging-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtlogging-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtlogging-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtsharedcore-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtsharedcore-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtsharedcore-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtsharedcore-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-mngmtsharedcore-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-netso-dv-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-netso-dv-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-netso-dv-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-netso-dv-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-netso-dv-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-euwest1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-euwest1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-euwest1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-euwest1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-network-euwest1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-dv-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-dv-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-dv-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-dv-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-dv-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-opentext-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-patu-sandbox-sb-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-patu-sandbox-sb-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-patu-sandbox-sb-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-patu-sandbox-sb-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-patu-sandbox-sb-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-dv-euwest1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-dv-euwest1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-dv-euwest1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-dv-euwest1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-dv-euwest1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-pd-euwest1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-pd-euwest1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-pd-euwest1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-pd-euwest1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-pricing-pd-euwest1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-sagemaker-sb-euwest1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-sagemaker-sb-euwest1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-sagemaker-sb-euwest1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-sagemaker-sb-euwest1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-sagemaker-sb-euwest1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-dv-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-dv-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-dv-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-dv-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-dv-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-te-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-te-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-te-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-te-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-servicelayer-te-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-dv-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-dv-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-dv-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-dv-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-dv-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-te-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-te-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-te-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-te-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-webshop-te-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
